event_id,tag_id
E1,T1
E1,T2
E1,T3
E1,T4
E1,T5
E2,T6
E2,T7
E2,T8
E2,T9
E2,T10
E3,T11
E3,T12
E3,T13
E3,T14
E3,T15
E4,T29
E4,T30
E4,T31
E4,T32
E29,T29
E29,T193
E29,T194
E29,T195
E29,T196
E29,T197
E30,T45
E30,T47
E30,T48
E30,T81
E30,T203
E30,T204
E30,T205
E30,T206
E30,T207
E30,T208
E30,T209
E31,T27
E31,T45
E31,T81
E31,T191
E31,T204
E31,T210
E31,T211
E31,T212
E31,T213
E32,T56
E32,T214
E32,T215
E32,T216
E32,T217
E32,T218
E32,T219
E34,T154
E34,T230
E34,T231
E36,T191
E36,T196
E36,T199
E36,T237
E36,T238
E36,T239
E36,T240
E36,T241
E36,T242
E36,T243
E36,T244
E36,T245
E36,T246
E36,T247
E39,T45
E39,T74
E39,T93
E39,T205
E39,T238
E39,T241
E39,T246
E39,T267
E39,T268
E39,T269
E39,T270
E39,T271
E39,T272
E39,T273
E39,T274
E41,T1
E41,T81
E41,T257
E41,T262
E41,T277
E41,T278
E44,T188
E44,T284
E44,T285
E44,T286
E44,T287
E46,T258
E46,T275
E46,T276
E46,T292
E46,T293
E46,T294
E49,T29
E49,T305
E49,T306
E49,T307
E49,T308
E49,T309
E50,T35
E50,T81
E50,T142
E50,T310
E50,T311
E5,T15
E5,T38
E5,T39
E5,T40
E5,T41
E5,T42
E5,T43
E6,T51
E6,T52
E6,T53
E6,T54
E6,T55
E6,T56
E6,T57
E7,T15
E7,T58
E7,T59
E7,T60
E8,T23
E8,T66
E8,T67
E8,T68
E8,T69
E8,T70
E8,T71
E9,T72
E9,T73
E9,T74
E10,T11
E10,T12
E10,T13
E10,T15
E10,T69
E10,T75
E10,T76
E11,T67
E11,T69
E11,T77
E11,T78
E12,T23
E12,T69
E12,T79
E12,T80
E12,T81
E12,T82
E13,T41
E13,T81
E13,T83
E13,T84
E13,T85
E13,T86
E14,T11
E14,T12
E14,T13
E14,T87
E14,T88
E14,T89
E15,T56
E15,T90
E15,T91
E15,T92
E15,T93
E15,T94
E16,T9
E16,T72
E16,T95
E16,T96
E16,T97
E16,T98
E17,T15
E17,T45
E17,T63
E17,T68
E17,T99
E17,T100
E17,T101
E17,T102
E17,T103
E18,T61
E18,T72
E18,T104
E18,T105
E18,T106
E18,T107
E19,T73
E19,T108
E19,T109
E19,T110
E19,T111
E19,T112
E19,T113
E19,T114
E19,T115
E19,T116
E19,T117
E20,T129
E20,T130
E20,T131
E20,T132
E21,T133
E21,T134
E21,T135
E21,T136
E21,T137
E21,T138
E22,T41
E22,T129
E22,T142
E22,T143
E22,T144
E23,T145
E23,T146
E23,T147
E24,T93
E24,T151
E24,T152
E25,T9
E25,T72
E25,T160
E25,T161
E25,T162
E26,T166
E26,T167
E26,T168
E26,T169
E26,T170
E26,T171
E27,T181
E27,T182
E27,T183
E27,T184
E27,T185
E27,T186
E27,T187
E28,T9
E28,T188
E28,T189
E33,T224
E33,T225
E33,T226
E33,T227
E33,T228
E33,T229
E35,T15
E35,T45
E35,T233
E35,T234
E35,T235
E35,T236
E37,T195
E37,T220
E37,T248
E37,T249
E37,T250
E37,T251
E37,T252
E37,T253
E37,T254
E37,T255
E37,T256
E38,T42
E38,T43
E38,T188
E38,T196
E38,T226
E38,T257
E38,T258
E38,T259
E38,T260
E38,T261
E38,T262
E38,T263
E38,T264
E38,T265
E38,T266
E40,T196
E40,T237
E40,T257
E40,T275
E40,T276
E42,T15
E42,T35
E42,T279
E42,T280
E42,T281
E43,T29
E43,T275
E43,T282
E43,T283
E45,T188
E45,T287
E45,T288
E45,T289
E45,T290
E45,T291
E47,T27
E47,T275
E47,T295
E47,T296
E47,T297
E47,T298
E47,T299
E47,T300
E48,T70
E48,T301
E48,T302
E48,T303
E48,T304
E49,T29
E49,T306
E49,T307
E49,T308
E49,T310
E50,T35
E50,T81
E50,T142
E50,T311
