id,title,slug,description,organizer,start_date,end_date,url
E1,Business Media Schooling : Find Your Business Identity,business-media-schooling-tdc-its-2025,"Business Media Schooling TDC ITS 2025. Learn about personal branding, viral content strategy, website design, and SEO for your business.",TDC ITS,2025-11-22 00:00:00,2025-11-22 00:00:00,https://its.id/m/OpenRegistrationBMSTDC2025
E2,OPEN RECRUITMENT STAFF IEEEBIG 26,open-recruitment-staff-ieeebig-26,"Open recruitment for staff to be part of IEEEBIG 2026, offering a chance to expand network, develop leadership skills, and make an impact in the community.",IEEE,2024-11-16 00:00:00,2024-11-21 23:59:59,https://ieee-its-sb.org/s/oprecstaff
E3,INI LHO ITS! 2026 Volunteer Band Registration,ini-lho-its-2026-volunteer-band,Volunteer Band registration for INI LHO ITS! 2026 is now open!,ITS Surabaya,2024-07-25 17:00:00,2024-07-26 16:59:59,https://its.id/m/OpenVolunteerBandILITS26
E4,HMSI x Hyred â€“ Career Preparation Webinar,hmsi-hyred-career-preparation-webinar,Career preparation webinar for Sistem Informasi dan Inovasi Digital students to prepare for the world of work and make their CV more standout.,HMSI x Hyred,2025-11-28 17:00:00,2025-11-28 17:00:00,https://its.id/m/jointgatersvp
E5,DWDG ITS Business Case Bootcamp 2025,dwdg-its-business-case-bootcamp-2025,"Business Case Bootcamp 2025 by DWDG ITS. Learn from industry experts, get mentoring, solve real business cases, and earn a national certificate.",DWDG ITS,2024-10-20 00:00:00,2024-10-31 23:59:00,https://its.id/m/RegistBCB2025
E6,TEDxSurabaya 2025: HERE+BEYOND,tedxsurabaya-2025,"Insightful discussion around cybersecurity, technology, and AI in a roundtable facilitated by Edy Budiman.",TEDx,2025-12-05 17:00:00,2025-12-07 16:59:59,https://tedxsurabaya.com/herebeyond
E7,OPEN SUBMISSION SEBAGAI EXHIBITOR INI LHO ITS! 2026,open-submission-exhibitor-ini-lho-its-2026,Open submission sebagai exhibitor untuk para seniman hebat ITS di INI LHO ITS! 2026. Eksklusif untuk KM ITS dengan kuota terbatas.,INI LHO ITS!,2025-12-31 17:00:00,2026-12-31 16:59:59,https://its.id/m/GuidebookArtSubmissionExhibILITS2026
E8,Grand Closing TDC Summit Fest 2025,grand-closing-tdc-summit-fest-2025,"Grand Closing TDC Summit Fest 2025 with talkshow, music performance, workshops, entrepreneur & culinary booths.",TDC,2025-11-28 08:00:00,2025-11-28 14:00:00,https://linktr.ee/tdcsummitfest2025
E9,BIMITS LEADERSHIP TRAINING 2025,bimits-leadership-training-2025,"Leadership training featuring speakers I Putu Evan Priyaguna and M. Ariiq Alvino, focusing on leadership, mindset, and practical experiences.",BIMITS,2025-11-16 08:30:00,2025-11-16 17:00:00,its.id/m/PendaftaranBLT2025
E10,Open Volunteer Band INI LHO ITS! 2026,open-volunteer-band-ini-lho-its-2026,Open registration for Volunteer Band at INI LHO ITS! 2026. Register your coolest band now!,ITS Surabaya,2024-07-07 17:00:00,2024-12-31 16:59:59,https://its.id/m/OpenVolunteerBandILITS26
E11,EMBRACE THE ECLIPSE,embrace-the-eclipse-2025,"A night of music, mystery, and magic at Taman Alumni ITS on Saturday, 15th of November 2025, from 16.00 - 22.00. FREE HTM.",PAMMITS,2025-11-15 16:00:00,2025-11-15 22:00:00,
E12,BERSUARA 2025,bersuara-2025,BERSUARA 2025 hadir untuk memindahkan cerita ke dalam suatu pengalaman yang bermakna. Beragam rangkaian acara yang penuh warna dan menarik.,bersuaraugm2025,2025-11-18 15:00:00,2025-11-22 23:59:59,
E13,PRISMA 2025 â€“ Web Design Competition,prisma-2025-web-design-competition,Web design competition for high school/vocational school/Islamic high school and active university students with the theme of Digital Innovation for Social Impact.,Himpunan Mahasiswa Sistem Informasi UIN Sunan Ampel Surabaya,2025-11-09 17:00:00,2025-12-05 17:00:00,https://bitly.cx/YvjkL
E14,Pemateri Try Out Sepuluh Nopember X Bimbel INI LHO ITS! 2026,oprec-pemateri-tos-ilits-2026,Open recruitment for instructors of Try Out Sepuluh Nopember X Bimbel INI LHO ITS! 2026,INI LHO ITS!,2023-12-31 17:00:00,2024-12-31 16:59:59,http://its.id/m/OprecPemateriTOSepuluhNopemberILITS26
E15,DUEL HEROES COMPETITION 2025,duel-heroes-competition-2025,Mobile Legends tournament for people in Surabaya and surrounding areas. Hybrid tournament (online + offline).,ITS,2025-11-21 08:00:00,2025-11-23 16:59:59,https://intip.in/duros2025
E16,OPEN RECRUITMENT STAFF IEEEBIG 26,ieee-big-26-recruitment,"Open recruitment for staff members to be part of IEEEBIG 2026, offering opportunities to expand network, develop leadership skills and make an impact in the community.",IEEE,2024-11-16 00:00:00,2024-11-21 23:59:59,https://ieee-its-sb.org/s/oprecstaff
