id,name,slug
T1,business,business
T2,personal branding,personal-branding
T3,content creation,content-creation
T4,seo,seo
T5,website design,website-design
T6,ieeebig2026,ieeebig2026
T7,ieeeitssb,ieeeitssb
T8,gobig,gobig
T9,recruitment,recruitment
T10,ieeebig,ieeebig
T11,inilhoits2026,inilhoits2026
T12,itssurabaya,itssurabaya
T13,navigasieksplorasi,navigasieksplorasi
T14,volunteer band,volunteer-band
T15,its,its
T16,alumni,alumni
T17,sharing session,sharing-session
T18,sistem informasi,sistem-informasi
T19,karier,karier
T20,profesional,profesional
T21,badminton,badminton
T22,sparring,sparring
T23,workshop,workshop
T24,lomba,lomba
T25,bcc,bcc
T26,bpc,bpc
T27,ctf,ctf
T28,hackathon,hackathon
T29,webinar,webinar
T30,career preparation,career-preparation
T31,cv,cv
T32,hyred,hyred
T33,notifikasi,notifikasi
T34,event baru,event-baru
T35,event,event
T36,kael,kael
T37,info,info
T38,business case,business-case
T39,bootcamp,bootcamp
T40,dwgd,dwgd
T41,students,students
T42,mentoring,mentoring
T43,certificate,certificate
T44,olahraga,olahraga
T45,mahasiswa,mahasiswa
T46,pemrograman,pemrograman
T47,machine learning,machine-learning
T48,algoritma,algoritma
T49,perlombaan,perlombaan
T50,beasiswa luar negeri,beasiswa-luar-negeri
T51,tedxsurabaya,tedxsurabaya
T52,tedxsurabaya2025,tedxsurabaya2025
T53,tedx,tedx
T54,ideasworthspreading,ideasworthspreading
T55,ideaschangeeverything,ideaschangeeverything
T56,surabaya,surabaya
T57,communityevent,communityevent
T58,exhibition,exhibition
T59,seni,seni
T60,km its,km-its
T61,startup,startup
T62,korporasi,korporasi
T63,akademik,akademik
T64,media,media
T65,schooling,schooling
T66,summit,summit
T67,festival,festival
T68,talkshow,talkshow
T69,music,music
T70,entrepreneurship,entrepreneurship
T71,culinary,culinary
T72,leadership,leadership
T73,training,training
T74,soft skill,soft-skill
T75,volunteer,volunteer
T76,band,band
T77,mystery,mystery
T78,magic,magic
T79,talk show,talk-show
T80,art,art
T81,competition,competition
T82,umkm,umkm
T83,web design,web-design
T84,national,national
T85,social impact,social-impact
T86,digital innovation,digital-innovation
T87,pemateri,pemateri
T88,try out,try-out
T89,bimbel,bimbel
T90,mlbb,mlbb
T91,mobile legends,mobile-legends
T92,tournament,tournament
T93,online,online
T94,offline,offline
T95,ieeebig 2026,ieeebig-2026
T96,staff,staff
T97,volunteering,volunteering
T98,community,community
T99,kesehatan mental,kesehatan-mental
T100,stress,stress
T101,sukses,sukses
T102,dwp its,dwp-its
T103,pendidikan,pendidikan
T104,founderleadership,founderleadership
T105,founderhub,founderhub
T106,founderhubsummit2025,founderhubsummit2025
T107,team building,team-building
T108,energy,energy
T109,conversion,conversion
T110,pvsyst,pvsyst
T111,solar system design,solar-system-design
T112,photovoltaic system,photovoltaic-system
T113,simulation,simulation
T114,optimization,optimization
T115,on-grid pv system,on-grid-pv-system
T116,off-grid pv system,off-grid-pv-system
T117,pumping pv system,pumping-pv-system
T118,komunal,komunal
T119,forum,forum
T120,manage,manage
T121,2025,2025
T122,parkiran mobil sistem informasi its,parkiran-mobil-sistem-informasi-its
T123,pakaian bapel standar its,pakaian-bapel-standar-its
T124,booth,booth
T125,permainan,permainan
T126,hadiah,hadiah
T127,permen gratis,permen-gratis
T128,mental health,mental-health
T129,pkm,pkm
