user_id,tag_id
U1,T3
U1,T7
U1,T12
U1,T18
U1,T21
U2,T2
U2,T5
U2,T9
U2,T14
U3,T3
U3,T6
U3,T12
U3,T20
U4,T4
U4,T10
U4,T15
U4,T22
U5,T1
U5,T6
U5,T11
U5,T19
U5,T25
U6,T8
U6,T13
U6,T16
U6,T23
U7,T2
U7,T6
U7,T17
U7,T20
U7,T24
U8,T7
U8,T12
U8,T18
U8,T25
U9,T3
U9,T6
U9,T11
U9,T21
U10,T2
U10,T9
U10,T14
U10,T17
U10,T24
U11,T1
U11,T6
U11,T19
U11,T21
U12,T8
U12,T13
U12,T23
U13,T5
U13,T9
U13,T14
U13,T22
U14,T4
U14,T10
U14,T15
U14,T20
U15,T3
U15,T6
U15,T11
U15,T19
U16,T8
U16,T13
U16,T16
U16,T22
U17,T3
U17,T12
U17,T18
U17,T21
U17,T24
U18,T4
U18,T10
U18,T14
U18,T15
U18,T22
U19,T1
U19,T6
U19,T19
U19,T21
U20,T2
U20,T9
U20,T14
U20,T17
U21,T6
U21,T11
U21,T21
U21,T25
U22,T7
U22,T12
U22,T18
U22,T25
U23,T3
U23,T6
U23,T20
U23,T24
U24,T8
U24,T13
U24,T16
U24,T23
U25,T3
U25,T6
U25,T19
U25,T21
U26,T2
U26,T9
U26,T16
U26,T23
U27,T7
U27,T12
U27,T18
U27,T25
U28,T4
U28,T10
U28,T14
U28,T22
U29,T2
U29,T6
U29,T17
U29,T20
U29,T24
U30,T7
U30,T11
U30,T12
U30,T18
U30,T25
